entrez	max_FC_log2
100129053	-6.12101540096137
65122	-6.12101540096137
128611	-6.12101540096137
644100	-6.11626968931072
338436	-6.11103131238874
29125	-6.10916220601462
6372	-6.10792694381005
283867	-6.10433665981474
100533990	-6.09592441999854
9350	-6.09592441999854
113730	-6.0891352543359
654376	-6.07895134139482
116159	-6.07662128160291
1310	-6.07636818038082
285084	-6.06004738366994
100240713	-6.05311133645956
9760	-6.04542645932443
116	-6.04082750433826
716	-6.03883627017527
338322	-6.02384674195437
257	-6.01792190799726
104326052	-6.01792190799726
23581	-6.00699686097362
1586	-6.00395572883326
4803	-5.99633875788051
100507257	-5.9961801288432
202865	-5.99095486039699
176	-5.98792716769943
115273	-5.97881499249064
7222	-5.97352778863881
100505817	-5.9656067112677
29942	-5.96347412397489
4885	-5.94669416948172
3237	-5.94543483216794
107986402	-5.94485844580754
1009	-5.94369651086376
63930	-5.93579251104996
4837	-5.92303555874563
389812	-5.92002101653729
8328	-5.91366382420394
100130361	-5.90327934205614
101927332	-5.89798504238663
4060	-5.89773987621543
3428	-5.89261806933751
1066	-5.89009649398438
653437	-5.88362081628567
8793	-5.87803193549103
10406	-5.85117500850003
388939	-5.84799690655495
7348	-5.83452067429849
10750	-5.82842545381536
80099	-5.82374936030827
284904	-5.82197069199269
107985816	-5.81142028590554
111216284	-5.80992886572143
84740	-5.80689170322528
163351	-5.80099942701778
1634	-5.79666982625199
55195	-5.79395706684206
1311	-5.78952450383549
3346	-5.78659636189081
100505633	-5.78264046597123
728464	-5.77760757866355
100113403	-5.77082904603249
597	-5.76910477782092
100507043	-5.76171556467292
387763	-5.7591156254687
2018	-5.75628073746334
4222	-5.74472763594325
5156	-5.73303526618128
640	-5.732910701248
2619	-5.73136322010244
80712	-5.72714251168056
387837	-5.72246602447109
164045	-5.71961202741594
8633	-5.71884343614991
284422	-5.7186868604479
64109	-5.70236845511404
356	-5.70043971814109
285126	-5.69201695419532
51339	-5.69182591996669
3569	-5.68550615730459
100874282	-5.67807190511264
28692	-5.67484800423835
1755	-5.67459594273063
