entrez	log2FoldChange
3872	-5.34898872966827
5139	-5.34754736422266
100506377	-5.3407566084103
101927642	-5.33592352217088
101928151	-5.33114784675036
643733	-5.33061895477012
4499	-5.3162697492363
65975	-5.31401322488706
283392	-5.3137152766152
6947	-5.30612578174083
29953	-5.3057239008693
2113	-5.29451685490351
9388	-5.29148751975399
10107	-5.28933076611795
54437	-5.28785947572244
54510	-5.26545385056719
100287314	-5.2644966824145
8091	-5.25670202394173
100287216	-5.25479303089953
8685	-5.2418358840591
107075116	-5.24103623363624
2328	-5.23968776958018
133396	-5.23514769491683
2201	-5.23213425664265
283867	-5.20881635198292
2044	-5.20762175597472
100507206	-5.18589328044131
29944	-5.17331304774553
375387	-5.16638111550977
2247	-5.16593464559486
2290	-5.16500180312944
65061	-5.16287211704573
283422	-5.16167048353716
8828	-5.16125073314014
127124	-5.14624456171468
1292	-5.14486850065335
140578	-5.14376089684719
284661	-5.13139137604292
105373853	-5.12743932490199
22801	-5.12736961470687
169355	-5.12095816488892
2831	-5.11759980540333
55380	-5.10735172479415
92211	-5.10382444316699
115701	-5.09972822087806
1240	-5.09886909004879
64078	-5.08071600574224
10231	-5.07998737893701
4166	-5.07908719349411
25925	-5.05886863832837
1299	-5.05105877626678
929	-5.05078341824206
2825	-5.04773494087716
169792	-5.04598881188935
419	-5.04517937416282
3696	-5.0439031787028
344558	-5.04234805483649
7096	-5.04069289882377
117581	-5.0382536272786
100506895	-5.02345377982192
5266	-5.02266222604743
50486	-5.01920354782798
554202	-5.01145336894825
54796	-5.00642483697556
5806	-5.00368968866846
1282	-4.99776791968454
858	-4.98908759138483
81606	-4.98389518808468
26585	-4.98143934785332
8633	-4.97928567819829
55679	-4.97842108905828
3199	-4.97538653484821
55243	-4.97469652764948
284759	-4.97447546119309
6507	-4.97174379523598
27122	-4.96055633627331
834	-4.95144368808836
729252	-4.93791647552372
105375734	-4.93559418033542
352962	-4.92697574595544
100507632	-4.91834519057919
375616	-4.91203250670741
392636	-4.90271303552768
107075148	-4.90018858207549
8707	-4.89967188371947
3078	-4.8971506734075
4208	-4.89643507916107
650	-4.88910265182912
1284	-4.87958286073841
4118	-4.87131101889323
100127983	-4.87005033186549
100505785	-4.86983762005803
54763	-4.86932748137172
857	-4.86599492663734
8710	-4.86577027054271
4543	-4.85870392954163
94234	-4.85868956960473
100130889	-4.85565713026802
7045	-4.85090907097181
90865	-4.85086903047363
54075	-4.84823298930983
164045	-4.84621458082847
105374885	-4.84575375886674
5396	-4.83226704686916
4803	-4.82169684374749
55423	-4.81275667356864
59	-4.8091900326864
57631	-4.80794597405623
83872	-4.80318624043748
2882	-4.80070693030489
5764	-4.78835386386627
100506795	-4.78752858261814
100506737	-4.7867194328175
400617	-4.78638615646651
100506311	-4.78369036451202
100129464	-4.78320970867428
7345	-4.78302263387769
9023	-4.77898183585905
100996941	-4.77272159645891
26577	-4.77224834234743
2295	-4.77038997176874
6935	-4.76782637305664
245972	-4.76590708802431
716	-4.7614086630283
221061	-4.75822140821688
3676	-4.75775475579018
27147	-4.75702513542383
284196	-4.73479127809371
3237	-4.7327833292274
5655	-4.73223017291116
114897	-4.73125624084212
4279	-4.72989480412805
1805	-4.7283691902425
3207	-4.72774535150896
57565	-4.72748700689492
80099	-4.71926866394902
3437	-4.71623106035129
137196	-4.71164923933528
