"","gene_name","antibody_name","RNASeq_name","RPPAFC","RNAFC","log2RPPAFC","log2RNAFC","max_log_FC","max_RPPAorRNA"
"24","CCND1","Cyclin_D1","ENSG00000110092.3",0.800214970805309,0.904599569230842,-0.321540475320893,-0.144648785927409,-0.321540475320893,"RPPA"
"25","CCNE1","Cyclin_E1","ENSG00000105173.9",0.687340448095954,0.747092166018675,-0.540903234388134,-0.420641860901111,-0.540903234388134,"RPPA"
"26","CCNE2","Cyclin_E2_Caution","ENSG00000175305.12",0.853759804578456,0.843545723659558,-0.228097853478198,-0.245461824229805,-0.245461824229805,"RNA"
"27","CDH1","E-Cadherin","ENSG00000039068.14",0.94784033100756,0.542637824116966,-0.0772840453257131,-0.881938481908024,-0.881938481908024,"RNA"
"28","CDH2","N-Cadherin","ENSG00000170558.4",0.884923972673472,0.997187950176417,-0.176374582017742,-0.00406264519649669,-0.176374582017742,"RPPA"
"29","CDH3","P-Cadherin_Caution","ENSG00000062038.9",0.668216710983893,0.720944798952391,-0.581612032369931,-0.472039294958599,-0.581612032369931,"RPPA"
"30","CDK1","CDK1","ENSG00000170312.11",0.853689691495078,0.947277084784951,-0.22821633639436,-0.0781416096637451,-0.22821633639436,"RPPA"
"31","CDKN1A","p21","ENSG00000124762.9",1.00932376839045,0.997069940674296,0.0133890328445149,-0.00423338712959131,0.0133890328445149,"RPPA"
"32","CDKN2A","p14 Arf(BetA300-340A)_Caution","ENSG00000147889.12",0.543683321483312,0.627508488742026,-0.879161523478193,-0.672293119356718,-0.879161523478193,"RPPA"
"33","CLDN7","Claudin-7","ENSG00000181885.14",1.44318665810681,0.817768406347916,0.529257906419265,-0.29023576800455,0.529257906419265,"RPPA"
"34","COL6A1","Collagen_VI","ENSG00000142156.10",0.775480236487146,0.851827277299469,-0.366838080982944,-0.231367166132493,-0.366838080982944,"RPPA"
"35","DIABLO","Smac_Caution","ENSG00000184047.11",1.03691856935002,1.01805562598155,0.0523026017618396,0.0258163916053932,0.0523026017618396,"RPPA"
"36","DIRAS3","Di-Ras3_Caution","ENSG00000162595.4",1.09630074382451,1.05424072328122,0.132643621388085,0.0762043267770555,0.132643621388085,"RPPA"
"37","DVL3","Dvl3","ENSG00000161202.13",0.869207597076455,0.932744261762628,-0.202227310823034,-0.100446515269659,-0.202227310823034,"RPPA"
"38","EEF2","eEF2_Caution","ENSG00000167658.11",0.882806125787964,0.953629572830227,-0.17983145438033,-0.0684991192446133,-0.17983145438033,"RPPA"
"39","EEF2K","eEF2K","ENSG00000103319.7",1.07589702466454,1.05503663944744,0.105540002508765,0.0772931019004759,0.105540002508765,"RPPA"
"40","EIF4E","eIF4E","ENSG00000151247.8",1.02661369699434,1.00278194031983,0.0378934141064547,0.00400791918871883,0.0378934141064547,"RPPA"
"41","EIF4G1","eIF4G_Caution","ENSG00000114867.15",0.895159829532241,0.979875720037078,-0.159782798335064,-0.0293293144922814,-0.159782798335064,"RPPA"
"42","ERCC1","ERCC1_Caution","ENSG00000012061.11",0.881648509130159,0.904869480524306,-0.181724490356475,-0.144218383774356,-0.181724490356475,"RPPA"
"43","ERRFI1","MIG-6","ENSG00000116285.8",0.998914096430335,1.00897538367521,-0.00156747891442659,0.0128909769389032,0.0128909769389032,"RNA"
"44","ETS1","ETS-1","ENSG00000134954.10",0.756228146790149,0.869967336440535,-0.403106547494434,-0.20096685994886,-0.403106547494434,"RPPA"
"45","FASN","FASN","ENSG00000169710.6",1.94370120284294,1.21706327720179,0.958806456439281,0.283404178184777,0.958806456439281,"RPPA"
"46","FN1","Fibronectin","ENSG00000115414.14",0.464795012110699,0.646988937333293,-1.1053335081625,-0.62818705066161,-1.1053335081625,"RPPA"
"47","FOSL1","FRA1_Caution","ENSG00000175592.4",0.782209369203869,0.964828436078114,-0.354373278296169,-0.0516556669359325,-0.354373278296169,"RPPA"
"48","FOXM1","FoxM1","ENSG00000111206.8",0.914265264035055,0.953487812785458,-0.129315286731877,-0.0687135963559888,-0.129315286731877,"RPPA"
"49","G6PD","G6PD","ENSG00000160211.11",1.10642770269025,0.827819160418569,0.145909184190974,-0.272612453807749,-0.272612453807749,"RNA"
"50","GAB2","Gab2","ENSG00000033327.8",1.13527101216903,1.13909894457655,0.18303673913751,0.187893068073318,0.187893068073318,"RNA"
"51","GAPDH","GAPDH_Caution","ENSG00000111640.10",1.11645327927634,1.01643623147236,0.158922879313861,0.0235197071409319,0.158922879313861,"RPPA"
"52","GATA3","GATA3","ENSG00000107485.11",2.97967051658142,1.46205119727788,1.57515281042765,0.547993831649901,1.57515281042765,"RPPA"
"53","HSPA1A","HSP70_Caution","ENSG00000204389.8",1.13571175351103,1.03367769342547,0.183596721684287,0.0477864152636134,0.183596721684287,"RPPA"
"54","IGFBP2","IGFBP2","ENSG00000115457.5",1.97795163678322,1.23823636455766,0.984007150957477,0.308286734121246,0.984007150957477,"RPPA"
"55","INPP4B","INPP4B","ENSG00000109452.8",1.36375470428505,1.13668183656983,0.447584173147975,0.184828492544152,0.447584173147975,"RPPA"
"56","IRS1","IRS1","ENSG00000169047.5",1.10725827209825,1.04963555588346,0.14699177534068,0.0698884964747973,0.14699177534068,"RPPA"
"57","ITGA2","CD49b","ENSG00000164171.6",0.957276889952077,0.929116114601526,-0.0629918138723665,-0.106069188815781,-0.106069188815781,"RNA"
"58","JAK2","JAK2","ENSG00000096968.8",0.88624937207799,0.973152585507536,-0.17421539470761,-0.0392620647050839,-0.17421539470761,"RPPA"
"59","KDR","VEGFR2","ENSG00000128052.8",1.18653632057089,1.02415429421978,0.246756262946957,0.0344330812919896,0.246756262946957,"RPPA"
"60","KIT","c-Kit","ENSG00000157404.11",1.01334108936976,0.910301368507014,0.0191198652692237,-0.135583845321069,-0.135583845321069,"RNA"
"61","LCK","Lck","ENSG00000182866.12",0.665842322153854,0.893003930539828,-0.586747521163518,-0.163261569532087,-0.586747521163518,"RPPA"
"62","MAPK9","JNK2_Caution","ENSG00000050748.13",0.884096216794993,0.856542207750805,-0.177724707239843,-0.223403755276931,-0.223403755276931,"RNA"
"63","MDM4","MDMX_MDM4(BetIHC-00108)_Caution","ENSG00000198625.8",1.11166824847529,1.04906731666385,0.152726313521531,0.0691072558952766,0.152726313521531,"RPPA"
"64","MRE11A","Mre11_Caution","ENSG00000020922.8",1.12168265125322,1.07054638575785,0.165664563448259,0.0983473076832488,0.165664563448259,"RPPA"
"65","MS4A1","CD20 _Caution","ENSG00000156738.13",1.05802266591741,1.04678835264604,0.0813705344995538,0.0659697770785591,0.0813705344995538,"RPPA"
"66","MSH2","MSH2","ENSG00000095002.8",0.944979179851405,0.96133918180825,-0.0816455512213989,-0.0568825592283153,-0.0816455512213989,"RPPA"
