"","gene","ensembl","Antibody","max_FC_log2","is_max"
"137","ABRA","ENSG00000174429.3",NA,-1.06140054466414,0
"138","ABRACL","ENSG00000146386.7",NA,-0.314641721556504,0
"139","ABRAXAS1","ENSG00000163322.9",NA,-0.464821622841047,0
"140","ABRAXAS2","ENSG00000165660.7",NA,-0.421896512042248,0
"141","ABT1","ENSG00000146109.3",NA,-0.168301241284002,0
"142","ABT1P1","ENSG00000250496.2",NA,-0.594240314309167,0
"143","ABTB1","ENSG00000114626.13",NA,0.0519940818653546,0
"144","ABTB2","ENSG00000166016.4",NA,-0.0216218154392718,0
"145","AC000032.1","ENSG00000260246.1",NA,3.51909659615665,0
"146","AC000036.1","ENSG00000225929.1",NA,0.0588936890535683,0
"147","AC000041.1","ENSG00000242156.1",NA,-0.607895139416092,0
"148","AC000058.1","ENSG00000223665.1",NA,-0.369949609750306,0
"150","AC000068.1","ENSG00000185065.6",NA,-0.63733526800793,0
"151","AC000068.2","ENSG00000273212.1",NA,-0.186724949671113,0
"152","AC000068.3","ENSG00000273300.1",NA,0.719548541088797,0
"153","AC000078.1","ENSG00000232926.1",NA,-0.637281640123781,0
"155","AC000089.1","ENSG00000235776.2",NA,0.69009722063305,0
"156","AC000095.1","ENSG00000270393.1",NA,0.689659879387849,0
"157","AC000120.2","ENSG00000243107.1",NA,-0.321677946507651,0
"158","AC000123.1","ENSG00000224138.1",NA,0.0168211689497819,0
"159","AC000124.1","ENSG00000226770.1",NA,1.05889368905357,0
"160","AC000367.1","ENSG00000224981.1",NA,-5.78659636189081,0
"162","AC002056.1","ENSG00000213683.3",NA,-0.142019004872428,0
"163","AC002056.2","ENSG00000254499.1",NA,-0.263034405833794,0
"164","AC002059.1","ENSG00000273216.1",NA,0.480120134863658,0
"165","AC002064.2","ENSG00000225498.1",NA,1.61960864352805,0
"166","AC002064.3","ENSG00000234459.1",NA,-0.896906507035896,0
"167","AC002066.1","ENSG00000237813.3",NA,-5.23606735823352,0
"169","AC002070.1","ENSG00000248636.2",NA,-1.0703893278914,0
"170","AC002075.1","ENSG00000225898.1",NA,0.736965594166206,0
"171","AC002075.2","ENSG00000237729.2",NA,1.05889368905357,0
"172","AC002076.1","ENSG00000234695.1",NA,-0.649312912131214,0
"173","AC002091.1","ENSG00000265975.1",NA,0.754039107525148,0
"174","AC002091.2","ENSG00000266389.1",NA,-0.0672473410795158,0
"175","AC002094.1","ENSG00000258924.4",NA,0.385377525758605,0
"179","AC002115.1","ENSG00000267626.1",NA,-2.67807190511264,0
"180","AC002116.1","ENSG00000248101.2",NA,-0.0259952085329442,0
"181","AC002116.2","ENSG00000267698.1",NA,0.10505267851848,0
