"","gene","ensembl","Antibody","max_FC_log2"
"150","IFRD1","ENSG00000006652.9",NA,-1.34094424126466
"152","COX10","ENSG00000006695.6",NA,-0.390482687997966
"153","GTF2IRD1","ENSG00000006704.6",NA,-0.0801735924250631
"154","PAF1","ENSG00000006712.10",NA,0.0928116660135494
"155","VPS41","ENSG00000006715.11",NA,0.00876618582695166
"156","ARHGAP44","ENSG00000006740.12",NA,1.41048797420237
"157","ELAC2","ENSG00000006744.14",NA,0.207410911594504
"158","SCIN","ENSG00000006747.10",NA,-0.0629081306442894
"159","ARSD","ENSG00000006756.11",NA,0.0227887413008343
"160","PNPLA4","ENSG00000006757.7",NA,0.631421990772169
"161","MYH13","ENSG00000006788.8",NA,-1.84799690655495
"162","ADIPOR2","ENSG00000006831.9",NA,0.455931782306614
"163","CDKL3","ENSG00000006837.7",NA,-0.378927205869563
"164","UPP2","ENSG00000007001.8",NA,0.121629444401531
"165","PRSS21","ENSG00000007038.6",NA,-3.7472958534066
"166","MARK4","ENSG00000007047.10",NA,0.0617010041378729
"167","PROM1","ENSG00000007062.7",NA,-1.65104491772427
"168","CCDC124","ENSG00000007080.6",NA,-0.270577580179209
"169","CEACAM21","ENSG00000007129.13",NA,-1.11376887495757
"170","PAFAH1B1","ENSG00000007168.8",NA,-0.724384540856629
"171","NOS2","ENSG00000007171.12",NA,-4.14274017211608
"172","DNAH9","ENSG00000007174.13",NA,-4.08609341063884
"173","KIAA0100","ENSG00000007202.10",NA,0.991882608562736
"174","SLC13A2","ENSG00000007216.10",NA,5.12756449971867
"175","GAS7","ENSG00000007237.14",NA,-5.31621059855181
"176","TRAPPC6A","ENSG00000007255.6",NA,0.917426282868775
"177","MATK","ENSG00000007264.9",NA,0.964953977335242
"178","CEACAM7","ENSG00000007306.10",NA,6.13404596297093
"179","CD79B","ENSG00000007312.8",NA,-0.173397193349117
"180","SCN4A","ENSG00000007314.7",NA,0.762500686273344
"181","ST7L","ENSG00000007341.14",NA,-0.354128927509594
"182","TKTL1","ENSG00000007350.12",NA,-2.00496625289335
"183","PAX6","ENSG00000007372.16",NA,-4.17840641701748
"184","RPUSD1","ENSG00000007376.3",NA,0.286810051632444
"185","RHBDF1","ENSG00000007384.11",NA,0.731891501052325
"186","LUC7L","ENSG00000007392.12",NA,0.322858439440005
"187","CACNA2D2","ENSG00000007402.7",NA,2.37540574739375
"188","BAIAP3","ENSG00000007516.9",NA,0.0984251990018317
"189","TSR3","ENSG00000007520.3",NA,-0.146396199067278
"190","PIGQ","ENSG00000007541.10",NA,0.37116913438727
"191","CRAMP1","ENSG00000007545.11",NA,0.314114114654629
"192","TEAD3","ENSG00000007866.14",NA,0.276219402836529
"193","SELE","ENSG00000007908.11",NA,1.50188524990341
"194","DNAJC11","ENSG00000007923.11",NA,-0.0289241897378485
"195","FMO3","ENSG00000007933.8",NA,-5.20875578345093
"196","MYLIP","ENSG00000007944.10",NA,0.640654786834348
"197","NOX1","ENSG00000007952.13",NA,0.284453389468699
"198","E2F2","ENSG00000007968.6",NA,-0.795535182540165
"199","PSMB1","ENSG00000008018.8",NA,0.0659862245612217
"200","SYN1","ENSG00000008056.8",NA,1.15044762694301
"201","JARID2","ENSG00000008083.9",NA,0.233307275954602
"202","CDKL5","ENSG00000008086.6",NA,-1.65651241484913
"203","CAMK1G","ENSG00000008118.5",NA,-1.05281669844345
"204","CDK11A","ENSG00000008128.18",NA,-0.128069540162259
"205","NADK","ENSG00000008130.11",NA,0.100619563096923
"206","TFAP2B","ENSG00000008196.8",NA,8.4181751984233
"208","DLEC1","ENSG00000008226.15",NA,0.0467360746273326
"209","CYTH3","ENSG00000008256.11",NA,-0.515848158123609
"210","ADAM22","ENSG00000008277.10",NA,-0.670187369404
"211","SYPL1","ENSG00000008282.3",NA,-0.186274709537627
"212","CYB561","ENSG00000008283.11",NA,1.30197346951936
"213","SPAG9","ENSG00000008294.16",NA,-0.294079655052768
"214","CELSR3","ENSG00000008300.10",NA,0.641546736854933
"215","AASS","ENSG00000008311.10",NA,-1.91308151937177
"216","PLEKHG6","ENSG00000008323.11",NA,0.967650547850079
"217","SS18L2","ENSG00000008324.6",NA,-0.0240064609687103
"218","MPND","ENSG00000008382.11",NA,0.490121295100856
"219","MGST1","ENSG00000008394.8",NA,-0.214382347666627
"220","CRY1","ENSG00000008405.7",NA,0.1498602114456
"221","PGLYRP1","ENSG00000008438.4",NA,-0.323859598529838
"222","NFIX","ENSG00000008441.12",NA,-1.16591549840795
"223","ST3GAL1","ENSG00000008513.10",NA,1.42009401983562
"224","MMP25","ENSG00000008516.12",NA,1.97438489818534
"225","IL32","ENSG00000008517.12",NA,-3.76200230500233
"226","PKD1","ENSG00000008710.13",NA,-0.0336586936874914
"227","MAPK8IP2","ENSG00000008735.10",NA,-0.0746389337019489
"228","MED24","ENSG00000008838.13",NA,1.25309423423908
"229","RHOBTB2","ENSG00000008853.12",NA,0.914038013506253
"230","HEATR5B","ENSG00000008869.7",NA,0.14157238307313
"231","SEC62","ENSG00000008952.12",NA,0.358770456826033
"232","RPS20","ENSG00000008988.5",NA,0.106003141080192
"233","CSDE1","ENSG00000009307.11",NA,-0.0554755656540955
"234","UBE3C","ENSG00000009335.13",NA,-0.527218576604341
"235","REV3L","ENSG00000009413.11",NA,-0.119973382602117
"236","TENM1","ENSG00000009694.9",NA,0.616889142174455
"237","PAX7","ENSG00000009709.7",NA,-2.69636354531102
"238","MASP2","ENSG00000009724.12",NA,-0.548623356064812
"239","IYD","ENSG00000009765.10",NA,5.36981542428391
"240","FAM76A","ENSG00000009780.11",NA,-0.185543632507655
"241","TRAF3IP3","ENSG00000009790.10",NA,-2.18330557196627
"242","POMT2","ENSG00000009830.7",NA,-0.0878214278500455
"243","VTA1","ENSG00000009844.11",NA,-0.276195673206186
"244","MLXIPL","ENSG00000009950.11",NA,1.12448444755736
"245","BAZ1B","ENSG00000009954.6",NA,-0.437145213286222
"246","RANBP9","ENSG00000010017.9",NA,0.117210882158045
"247","ETV7","ENSG00000010030.9",NA,-1.09756629715723
"248","SPRTN","ENSG00000010072.11",NA,-0.332322317699289
"249","EEF1AKNMT","ENSG00000010165.15",NA,0.201469077738134
"250","DYRK4","ENSG00000010219.9",NA,0.750262416779664
"251","ZNF207","ENSG00000010244.12",NA,-0.361729740185026
"252","UQCRC1","ENSG00000010256.6",NA,-0.0649688735043634
"253","STARD3NL","ENSG00000010270.9",NA,-0.333119132414192
"254","CD9","ENSG00000010278.7",NA,0.432452006501451
"255","HHATL","ENSG00000010282.10",NA,0.899237023065084
"256","NCAPD2","ENSG00000010292.8",NA,-0.808367059863823
"257","IFFO1","ENSG00000010295.15",NA,0.576423205214739
"258","GIPR","ENSG00000010310.4",NA,1.17842972080777
"259","PHF7","ENSG00000010318.15",NA,-1.1570505950009
"260","SEMA3G","ENSG00000010319.2",NA,0.659295489934274
"261","NISCH","ENSG00000010322.11",NA,-0.402297022155008
"262","STAB1","ENSG00000010327.6",NA,0.70146691294482
"263","FUZ","ENSG00000010361.9",NA,1.01472205666401
"264","SLC6A13","ENSG00000010379.11",NA,0.516015147003665
"265","IDS","ENSG00000010404.13",NA,-0.20431544693275
"266","PRSS3","ENSG00000010438.12",NA,-7.20008820486666
"267","ZNF200","ENSG00000010539.7",NA,-0.138387498926015
"268","CD4","ENSG00000010610.5",NA,-0.630151274487412
"269","LRRC23","ENSG00000010626.10",NA,0.74700324632575
"270","BTK","ENSG00000010671.11",NA,1.07099183157144
"271","HFE","ENSG00000010704.14",NA,-0.129490150648279
"272","SCMH1","ENSG00000010803.12",NA,-0.758415195553256
"273","FYN","ENSG00000010810.13",NA,-2.87932258352667
"274","HIVEP2","ENSG00000010818.4",NA,-0.824746578556986
"275","FMO1","ENSG00000010932.11",NA,0.603699063302742
"276","ELOA","ENSG00000011007.8",NA,-0.731938482670093
"277","LYPLA2","ENSG00000011009.6",NA,-0.252543135825455
"278","CLCN6","ENSG00000011021.17",NA,-0.389483429211566
"279","MRC2","ENSG00000011028.9",NA,-3.47035750545259
"280","NME1-NME2","ENSG00000011052.17",NA,1.38861141787684
"281","SLC6A7","ENSG00000011083.4",NA,0.321928094887362
"282","TSPAN9","ENSG00000011105.7",NA,0.533122351307508
"283","BTBD7","ENSG00000011114.10",NA,-0.205222244345494
"284","APBA3","ENSG00000011132.7",NA,-0.035738685191208
"285","MKS1","ENSG00000011143.12",NA,0.590120610742944
"286","ABHD5","ENSG00000011198.3",NA,0.150919730220453
"287","ANOS1","ENSG00000011201.6",NA,0.604484742603783
"288","AKAP8L","ENSG00000011243.13",NA,0.352975509229333
"289","MBTD1","ENSG00000011258.11",NA,0.361729504888681
"290","UTP18","ENSG00000011260.9",NA,0.352790762598581
"291","RNF216","ENSG00000011275.14",NA,-0.0883669494036075
"292","TTC19","ENSG00000011295.11",NA,0.0466224025745658
"293","PTBP1","ENSG00000011304.12",NA,-0.100713234159776
"294","DPF1","ENSG00000011332.15",NA,-0.466738309314698
"295","SYT7","ENSG00000011347.5",NA,1.1261708247371
"296","LARS2","ENSG00000011376.5",NA,-0.218647771177437
"297","PIK3C2A","ENSG00000011405.9",NA,-0.587794544546589
"298","PLAUR","ENSG00000011422.7",NA,-2.45110615798889
"299","ANLN","ENSG00000011426.6",NA,-1.07819022848594
"300","WIZ","ENSG00000011451.13",NA,-0.267084015631182
"301","RABGAP1","ENSG00000011454.12",NA,0.220729318648258
"302","DCN","ENSG00000011465.12",NA,-5.79666982625199
"303","QPCTL","ENSG00000011478.7",NA,-0.278779469887026
"304","PPP5C","ENSG00000011485.10",NA,0.179388343918466
"305","CEP68","ENSG00000011523.9",NA,-0.491718418213486
"306","MAP4K3","ENSG00000011566.10",NA,-0.271328237575339
"307","ZBTB32","ENSG00000011590.9",NA,1.23280639897205
"308","TYROBP","ENSG00000011600.7",NA,-1.13058410981014
"309","TMEM159","ENSG00000011638.6",NA,0.869024773862402
"310","GABRA3","ENSG00000011677.8",NA,0.0240003100039983
"311","BRCA1","ENSG00000012048.15",NA,-0.358841606933455
"313","CD22","ENSG00000012124.10",NA,-0.668592657771654
"314","SEMA3B","ENSG00000012171.13",NA,0.95499275102792
"315","MBTPS2","ENSG00000012174.7",NA,-0.279116241922587
"316","PRICKLE3","ENSG00000012211.8",NA,0.117681857153399
"317","LTF","ENSG00000012223.8",NA,1.72263067809383
"318","EXTL3","ENSG00000012232.4",NA,-1.17192351825753
"319","NR1H4","ENSG00000012504.9",NA,-1
"320","ELOVL5","ENSG00000012660.9",NA,-0.0606849155357398
"321","ALOX5","ENSG00000012779.6",NA,-0.600035082033632
"322","KDM5D","ENSG00000012817.11",NA,-0.701918647067006
"323","CALCOCO1","ENSG00000012822.11",NA,0.315638885367911
"324","UBR7","ENSG00000012963.9",NA,0.16976738292039
"325","MAP4K5","ENSG00000012983.7",NA,-0.69561100179389
"326","EHD3","ENSG00000013016.10",NA,-0.253349352403892
"327","PSMC4","ENSG00000013275.3",NA,-0.0931218626289194
"328","MAN2B2","ENSG00000013288.4",NA,0.317125257978002
"329","SLC7A14","ENSG00000013293.5",NA,-2.26303440583379
"330","CLDN11","ENSG00000013297.6",NA,-4.19667330026792
"331","SLC25A39","ENSG00000013306.11",NA,0.104933190585666
"332","MVP","ENSG00000013364.14",NA,-1.29132872975348
"333","NUB1","ENSG00000013374.11",NA,-0.920525976023058
"334","PGM3","ENSG00000013375.11",NA,0.0433480920714473
"335","RWDD2A","ENSG00000013392.6",NA,0.839793553147095
"336","CLK1","ENSG00000013441.11",NA,-0.080018496580748
"337","POLR3B","ENSG00000013503.5",NA,0.0268479621227597
"338","ANGEL1","ENSG00000013523.5",NA,0.393016904898215
"339","RNF14","ENSG00000013561.13",NA,-0.146080449604548
"340","DNASE1L1","ENSG00000013563.9",NA,-0.559071633941088
"341","DDX11","ENSG00000013573.12",NA,-0.0404018870045721
"342","HEBP1","ENSG00000013583.4",NA,0.422270591881984
"343","GPRC5A","ENSG00000013588.5",NA,-0.422966762591523
"344","MAMLD1","ENSG00000013619.9",NA,-2.36509737811829
"345","CD6","ENSG00000013725.10",NA,-3.2501613245194
"346","TACC3","ENSG00000013810.14",NA,-0.432630524465259
"347","UFL1","ENSG00000014123.9",NA,0.0761617081343493
"348","POLA2","ENSG00000014138.4",NA,-0.38653984556585
"349","ZC3H3","ENSG00000014164.6",NA,0.245040363003724
"350","CAPN1","ENSG00000014216.11",NA,-0.54481636851495
"351","ACP3","ENSG00000014257.11",NA,-0.415526051617034
"352","MDH1","ENSG00000014641.13",NA,-0.561664111355576
"353","SLC30A9","ENSG00000014824.9",NA,-0.0993484307537207
"354","MTMR11","ENSG00000014914.15",NA,-0.351780015695756
"355","COX15","ENSG00000014919.8",NA,0.239428631173922
"356","CCDC88C","ENSG00000015133.14",NA,0.368156680297338
"357","YAF2","ENSG00000015153.10",NA,-0.0352594925012135
"358","ZMYND11","ENSG00000015171.14",NA,0.00718760739568047
"359","WAS","ENSG00000015285.6",NA,0.955512535551359
"360","DPEP1","ENSG00000015413.5",NA,-6.73674663820845
"361","BID","ENSG00000015475.14","Bid_Caution",-0.540577917046471
"362","MATR3","ENSG00000015479.13",NA,-0.354520967267519
"363","NPC1L1","ENSG00000015520.10",NA,1.48846728149029
"364","XYLT2","ENSG00000015532.5",NA,1.26895877523212
"365","RGPD5","ENSG00000015568.8",NA,-0.362904144942493
"366","STMN4","ENSG00000015592.12",NA,1.08843796466758
"367","NUDCD3","ENSG00000015676.13",NA,0.205729863619172
"368","ISL1","ENSG00000016082.10",NA,2.48200531037333
"369","CHDH","ENSG00000016391.6",NA,0.153703382434889
"370","IL20RA","ENSG00000016402.8",NA,0.344766516091829
"371","CLCA1","ENSG00000016490.11",NA,0.196397212803503
"372","CLCA4","ENSG00000016602.8",NA,-2.46466826700344
"373","GLT8D1","ENSG00000016864.12",NA,-0.371272215834412
"374","ATP2C1","ENSG00000017260.15",NA,-0.955912442927775
"375","IGF1","ENSG00000017427.11",NA,0.281961687569718
"376","SLC38A5","ENSG00000017483.10",NA,-1.73053932500677
"377","RALBP1","ENSG00000017797.7",NA,-0.942991473745315
"378","RUFY3","ENSG00000018189.8",NA,-0.277476381762923
"379","CNTN1","ENSG00000018236.10",NA,-0.28932642526742
"380","SLC11A1","ENSG00000018280.12",NA,1.14406107231625
"381","WWTR1","ENSG00000018408.10","TAZ",-2.47952186144101
"382","AGPS","ENSG00000018510.8",NA,-1.7736875513373
"383","ZNF806","ENSG00000018607.5",NA,-1.84799690655495
"384","CXorf56","ENSG00000018610.9",NA,-0.488059742199099
"385","ATP1A2","ENSG00000018625.10",NA,2.33573389441239
"386","TTC27","ENSG00000018699.7",NA,-0.493281810499805
"387","ZNF582","ENSG00000018869.12",NA,-1.64720782704686
"388","VSIG2","ENSG00000019102.7",NA,1.88368678495311
"389","PHLDB1","ENSG00000019144.12",NA,-1.18574482974239
"390","MARCO","ENSG00000019169.9",NA,-5.40664813016026
"391","CYP24A1","ENSG00000019186.5",NA,-2.27408959434279
"392","PRDM11","ENSG00000019485.8",NA,-0.434454521138117
"393","SYT13","ENSG00000019505.3",NA,0.659588681689453
"394","SNAI2","ENSG00000019549.4",NA,-8.37611227519799
"395","CD74","ENSG00000019582.10",NA,-1.95510309805062
"396","HGF","ENSG00000019991.11",NA,-2.79836613883035
"397","ZRANB1","ENSG00000019995.6",NA,-0.873468738748712
"398","NCDN","ENSG00000020129.11",NA,-0.181018988053363
"399","ADGRA2","ENSG00000020181.13",NA,-4.01243114954881
"400","CCT8L1P","ENSG00000020219.8",NA,-1.04064198449735
"401","ZFP64","ENSG00000020256.15",NA,-0.109573965149507
"402","MNAT1","ENSG00000020426.6",NA,0.153217139848101
"403","SAMD4A","ENSG00000020577.9",NA,-1.75678453733607
"404","RUNX3","ENSG00000020633.14",NA,-3.49554854117858
"405","MRE11","ENSG00000020922.8",NA,-0.781756439987825
"406","PLEKHB1","ENSG00000021300.9",NA,-0.260734242429748
"407","SERPINB1","ENSG00000021355.8",NA,-1.84631485548311
"408","CYP3A43","ENSG00000021461.12",NA,0.611434712082347
"409","SLC7A9","ENSG00000021488.8",NA,-0.0126419168749305
"410","SPAST","ENSG00000021574.7",NA,-0.447780919854309
"411","NRXN3","ENSG00000021645.13",NA,5.40136256238177
"412","OSBPL5","ENSG00000021762.15",NA,-0.76292908256721
"413","AQR","ENSG00000021776.6",NA,-0.115116494132301
"414","CPS1","ENSG00000021826.10",NA,2.96626442354852
"415","FHL1","ENSG00000022267.12",NA,-3.47780157135921
"416","RTF2","ENSG00000022277.8",NA,0.32980533568486
"417","GABRA1","ENSG00000022355.10",NA,-6.83490124894327
"418","NLRP2","ENSG00000022556.11",NA,-0.54142433895266
"419","SLC45A4","ENSG00000022567.5",NA,0.446715342265235
"420","RNF10","ENSG00000022840.11",NA,0.40174738993587
"421","ZNF839","ENSG00000022976.11",NA,0.31969039424607
"422","ZDHHC6","ENSG00000023041.7",NA,0.0735127500740083
